        0   -1.5000    2.4000
         0   -1.4822    2.4325
         0   -1.4634    2.4586
         0   -1.4446    2.4781
         0   -1.4266    2.4911
         0   -1.4103    2.4976
         0   -1.3967    2.4976
         0   -1.3867    2.4911
         0   -1.3811    2.4781
         0   -1.3808    2.4586
         0   -1.3868    2.4325
         0   -1.4000    2.4000
    0.2243   -1.4840    2.4000
    0.2216   -1.4664    2.4325
    0.2188   -1.4478    2.4586
    0.2160   -1.4291    2.4781
    0.2133   -1.4113    2.4911
    0.2109   -1.3953    2.4976
    0.2088   -1.3818    2.4976
    0.2073   -1.3719    2.4911
    0.2065   -1.3663    2.4781
    0.2064   -1.3661    2.4586
    0.2073   -1.3720    2.4325
    0.2093   -1.3851    2.4000
    0.4374   -1.4374    2.4000
    0.4322   -1.4203    2.4325
    0.4268   -1.4023    2.4586
    0.4213   -1.3843    2.4781
    0.4160   -1.3671    2.4911
    0.4113   -1.3515    2.4976
    0.4073   -1.3385    2.4976
    0.4044   -1.3288    2.4911
    0.4028   -1.3235    2.4781
    0.4027   -1.3232    2.4586
    0.4044   -1.3290    2.4325
    0.4083   -1.3416    2.4000
    0.6374   -1.3625    2.4000
    0.6298   -1.3463    2.4325
    0.6218   -1.3292    2.4586
    0.6138   -1.3121    2.4781
    0.6062   -1.2958    2.4911
    0.5993   -1.2810    2.4976
    0.5935   -1.2686    2.4976
    0.5892   -1.2595    2.4911
    0.5868   -1.2544    2.4781
    0.5867   -1.2542    2.4586
    0.5893   -1.2597    2.4325
    0.5949   -1.2716    2.4000
    0.8219   -1.2613    2.4000
    0.8121   -1.2463    2.4325
    0.8018   -1.2305    2.4586
    0.7915   -1.2146    2.4781
    0.7816   -1.1995    2.4911
    0.7727   -1.1858    2.4976
    0.7653   -1.1744    2.4976
    0.7598   -1.1660    2.4911
    0.7567   -1.1613    2.4781
    0.7566   -1.1611    2.4586
    0.7599   -1.1661    2.4325
    0.7671   -1.1772    2.4000
    0.9888   -1.1360    2.4000
    0.9771   -1.1225    2.4325
    0.9647   -1.1083    2.4586
    0.9523   -1.0940    2.4781
    0.9404   -1.0804    2.4911
    0.9297   -1.0681    2.4976
    0.9207   -1.0578    2.4976
    0.9141   -1.0502    2.4911
    0.9104   -1.0459    2.4781
    0.9102   -1.0457    2.4586
    0.9142   -1.0503    2.4325
    0.9229   -1.0603    2.4000
    1.1360   -0.9888    2.4000
    1.1225   -0.9771    2.4325
    1.1083   -0.9647    2.4586
    1.0940   -0.9523    2.4781
    1.0804   -0.9404    2.4911
    1.0681   -0.9297    2.4976
    1.0578   -0.9207    2.4976
    1.0502   -0.9141    2.4911
    1.0459   -0.9104    2.4781
    1.0457   -0.9102    2.4586
    1.0503   -0.9142    2.4325
    1.0603   -0.9229    2.4000
    1.2613   -0.8219    2.4000
    1.2463   -0.8121    2.4325
    1.2305   -0.8018    2.4586
    1.2146   -0.7915    2.4781
    1.1995   -0.7816    2.4911
    1.1858   -0.7727    2.4976
    1.1744   -0.7653    2.4976
    1.1660   -0.7598    2.4911
    1.1613   -0.7567    2.4781
    1.1611   -0.7566    2.4586
    1.1661   -0.7599    2.4325
    1.1772   -0.7671    2.4000
    1.3625   -0.6374    2.4000
    1.3463   -0.6298    2.4325
    1.3292   -0.6218    2.4586
    1.3121   -0.6138    2.4781
    1.2958   -0.6062    2.4911
    1.2810   -0.5993    2.4976
    1.2686   -0.5935    2.4976
    1.2595   -0.5892    2.4911
    1.2544   -0.5868    2.4781
    1.2542   -0.5867    2.4586
    1.2597   -0.5893    2.4325
    1.2716   -0.5949    2.4000
    1.4374   -0.4374    2.4000
    1.4203   -0.4322    2.4325
    1.4023   -0.4268    2.4586
    1.3843   -0.4213    2.4781
    1.3671   -0.4160    2.4911
    1.3515   -0.4113    2.4976
    1.3385   -0.4073    2.4976
    1.3288   -0.4044    2.4911
    1.3235   -0.4028    2.4781
    1.3232   -0.4027    2.4586
    1.3290   -0.4044    2.4325
    1.3416   -0.4083    2.4000
    1.4840   -0.2243    2.4000
    1.4664   -0.2216    2.4325
    1.4478   -0.2188    2.4586
    1.4291   -0.2160    2.4781
    1.4113   -0.2133    2.4911
    1.3953   -0.2109    2.4976
    1.3818   -0.2088    2.4976
    1.3719   -0.2073    2.4911
    1.3663   -0.2065    2.4781
    1.3661   -0.2064    2.4586
    1.3720   -0.2073    2.4325
    1.3851   -0.2093    2.4000
    1.5000         0    2.4000
    1.4822         0    2.4325
    1.4634         0    2.4586
    1.4446         0    2.4781
    1.4266         0    2.4911
    1.4103         0    2.4976
    1.3967         0    2.4976
    1.3867         0    2.4911
    1.3811         0    2.4781
    1.3808         0    2.4586
    1.3868         0    2.4325
    1.4000         0    2.4000
   -1.5000         0    2.4000
   -1.4822         0    2.4325
   -1.4634         0    2.4586
   -1.4446         0    2.4781
   -1.4266         0    2.4911
   -1.4103         0    2.4976
   -1.3967         0    2.4976
   -1.3867         0    2.4911
   -1.3811         0    2.4781
   -1.3808         0    2.4586
   -1.3868         0    2.4325
   -1.4000         0    2.4000
   -1.4840   -0.2243    2.4000
   -1.4664   -0.2216    2.4325
   -1.4478   -0.2188    2.4586
   -1.4291   -0.2160    2.4781
   -1.4113   -0.2133    2.4911
   -1.3953   -0.2109    2.4976
   -1.3818   -0.2088    2.4976
   -1.3719   -0.2073    2.4911
   -1.3663   -0.2065    2.4781
   -1.3661   -0.2064    2.4586
   -1.3720   -0.2073    2.4325
   -1.3851   -0.2093    2.4000
   -1.4374   -0.4374    2.4000
   -1.4203   -0.4322    2.4325
   -1.4023   -0.4268    2.4586
   -1.3843   -0.4213    2.4781
   -1.3671   -0.4160    2.4911
   -1.3515   -0.4113    2.4976
   -1.3385   -0.4073    2.4976
   -1.3288   -0.4044    2.4911
   -1.3235   -0.4028    2.4781
   -1.3232   -0.4027    2.4586
   -1.3290   -0.4044    2.4325
   -1.3416   -0.4083    2.4000
   -1.3625   -0.6374    2.4000
   -1.3463   -0.6298    2.4325
   -1.3292   -0.6218    2.4586
   -1.3121   -0.6138    2.4781
   -1.2958   -0.6062    2.4911
   -1.2810   -0.5993    2.4976
   -1.2686   -0.5935    2.4976
   -1.2595   -0.5892    2.4911
   -1.2544   -0.5868    2.4781
   -1.2542   -0.5867    2.4586
   -1.2597   -0.5893    2.4325
   -1.2716   -0.5949    2.4000
   -1.2613   -0.8219    2.4000
   -1.2463   -0.8121    2.4325
   -1.2305   -0.8018    2.4586
   -1.2146   -0.7915    2.4781
   -1.1995   -0.7816    2.4911
   -1.1858   -0.7727    2.4976
   -1.1744   -0.7653    2.4976
   -1.1660   -0.7598    2.4911
   -1.1613   -0.7567    2.4781
   -1.1611   -0.7566    2.4586
   -1.1661   -0.7599    2.4325
   -1.1772   -0.7671    2.4000
   -1.1360   -0.9888    2.4000
   -1.1225   -0.9771    2.4325
   -1.1083   -0.9647    2.4586
   -1.0940   -0.9523    2.4781
   -1.0804   -0.9404    2.4911
   -1.0681   -0.9297    2.4976
   -1.0578   -0.9207    2.4976
   -1.0502   -0.9141    2.4911
   -1.0459   -0.9104    2.4781
   -1.0457   -0.9102    2.4586
   -1.0503   -0.9142    2.4325
   -1.0603   -0.9229    2.4000
   -0.9888   -1.1360    2.4000
   -0.9771   -1.1225    2.4325
   -0.9647   -1.1083    2.4586
   -0.9523   -1.0940    2.4781
   -0.9404   -1.0804    2.4911
   -0.9297   -1.0681    2.4976
